ls	= Mencantumkan konten direktori
pwd	= Menampilkan path direktori kerja saat ini
cd	= Mengubah direktori kerja
mkdir	= Membuat direktori baru
rm	= Menghapus file
cp	= Menyalin file dan direktori, termasuk isinya
mv	= Memindahkan atau mengganti nama file dan direktori
touch	= Membuat file kosong baru
file	= Memeriksa jenis file
zip and unzip	= Membuat dan mengekstrak arsip ZIP
tar	= Mengarsipkan file tanpa kompresi dalam format TAR
nano, vi, and jed = Mengedit file dengan editor teks
cat	= Mencantumkan, menggabungkan, dan menulis isi file sebagai output standar
grep	= Mencari string di dalam file
sed	= Menemukan, mengganti, atau menghapus pola dalam file
head	= Menampilkan sepuluh baris pertama file
tail	= Menampilkan sepuluh baris terakhir file
awk	= Menemukan dan memanipulasi pola dalam file
sort	= Mengurutkan ulang isi file
cut	= Membagi dan menampilkan baris dari sebuah file
diff	= Membandingkan isi dari dua file dan perbedaannya
tee	= Menampilkan output perintah di Terminal dan file
locate	= Menemukan file dalam database sistem
find	= Menunjukkan lokasi file atau folder
sudo	= Menjalankan perintah sebagai superuser
su	= Menjalankan program di shell saat ini sebagai user lain
chmod	= Memodifikasi izin baca, tulis, dan eksekusi file
chown	= Mengubah kepemilikan file, direktori, atau link simbolik
useradd and userdel =	Membuat dan menghapus akun user
df	= Menampilkan penggunaan ruang disk sistem secara keseluruhan
du	= Memeriksa penggunaan penyimpanan file atau direktori
top	= Menampilkan proses yang berjalan dan penggunaan resource sistem
htop	= Berfungsi seperti top, tapi dengan antarmuka pengguna interaktif
ps	= Membuat snapshot dari semua proses yang berjalan
uname	= Menampilkan informasi tentang kernel, nama, dan hardware perangkat
hostname	= Menampilkan hostname sistem
time	= Menghitung waktu eksekusi perintah
systemctl	= Mengelola layanan sistem
watch	= Menjalankan perintah lain secara terus menerus
jobs	= Menampilkan proses yang berjalan di shell beserta statusnya
kill	= Menghentikan proses yang sedang berjalan
shutdown	= Mematikan atau memulai ulang sistem
ping	= Memeriksa konektivitas jaringan sistem
wget	= Mendownload file dari URL
curl	= Mengirimkan data antarserver menggunakan URL
scp	= Menyalin file atau direktori dengan aman ke sistem lain
rsync	= Menyinkronkan konten antardirektori atau perangkat
lfconfig	= Menampilkan antarmuka jaringan sistem dan konfigurasinya
netstat	= Menampilkan informasi jaringan sistem, seperti routing dan soket
traceroute	= Memantau lompatan paket ke tujuannya
nslookup	= Meminta informasi alamat IP domain dan sebaliknya
dig	= Menampilkan informasi DNS, termasuk jenis record
history	= Mencantumkan perintah yang dijalankan sebelumnya
man	= Menampilkan panduan perintah
echo	= Menampilkan pesan sebagai output standar
ln	= Menautkan file atau direktori
alias and unalias	= Menetapkan dan menghapus alias untuk file atau perintah
cal	= Menampilkan kalender di Terminal
apt-get	= Mengelola library paket distro berbasis Debian


source : https://www.hostinger.co.id/tutorial/perintah-dasar-linux
